brand,fuel_type,model_date,vehicle_transmission,Car_name,Year,Location,mileage_from_odometer_km,vehicle_engine_cc,price_usd
Suzuki,Petrol,2021.0,Automatic,Cultus ,2021,Faisalabad,30000.0,1000.0,12730.05
Toyota,Petrol,2004.0,Automatic,Surf ,2004,Karachi,130000.0,2700.0,20212.05
Toyota,Petrol,2016.0,Automatic,Fortuner ,2016,Karachi,121300.0,2700.0,24644.52
Toyota,Petrol,2010.0,Automatic,Premio ,2010,Islamabad,157000.0,1800.0,17552.57
Toyota,Diesel,2022.0,Automatic,Fortuner ,2022,Karachi,4700.0,2800.0,67373.5
Toyota,Petrol,2012.0,Manual,Corolla ,2012,Karachi,97000.0,1300.0,6347.29
Toyota,Diesel,2018.0,Automatic,Fortuner ,2018,Lahore,72000.0,2800.0,42551.68
Toyota,Hybrid,2018.0,Automatic,Prius ,2018,Islamabad,95000.0,1800.0,26594.8
Daihatsu,Petrol,2005.0,Automatic,Cuore ,2005,Karachi,151000.0,800.0,2801.32
Toyota,Petrol,2018.0,Automatic,Corolla ,2018,Islamabad,90000.0,1800.0,17729.87
Toyota,Petrol,2009.0,Automatic,Prado ,2009,Islamabad,90000.0,2700.0,49643.63
Suzuki,Petrol,2022.0,Automatic,Swift ,2022,Islamabad,13000.0,1200.0,14857.63
Toyota,Petrol,2015.0,Automatic,Passo ,2015,Rawalpindi,80000.0,1000.0,6116.8
Toyota,Petrol,2021.0,Automatic,Corolla ,2021,Karachi,49000.0,1600.0,17020.67
Honda,Petrol,2013.0,Automatic,Civic ,2013,Peshawar,85000.0,1800.0,12233.61
Toyota,Petrol,2009.0,Manual,Corolla ,2009,Islamabad,78000.0,1300.0,8226.66
Suzuki,Petrol,2020.0,Manual,Swift ,2020,Islamabad,61000.0,1300.0,9308.18
Suzuki,Petrol,2016.0,Manual,Mehran ,2016,Rawalpindi,55000.0,800.0,3776.46
Toyota,Petrol,2015.0,Automatic,Corolla ,2015,Peshawar,88000.0,1600.0,12410.91
Honda,Petrol,2012.0,Automatic,Civic ,2012,Karachi,52500.0,1800.0,8829.47
Toyota,Petrol,2016.0,Automatic,Fielder ,2016,Islamabad,137000.0,1500.0,16559.7
Toyota,Petrol,1997.0,Manual,Corolla ,1997,Attock,250000.0,1600.0,4432.47
Toyota,Petrol,2001.0,Manual,Corolla ,2001,Islamabad,145000.0,1300.0,3510.51
Nissan,Petrol,2018.0,Automatic,Note ,2018,Karachi,118000.0,1200.0,15424.98
Honda,Hybrid,2018.0,Automatic,Insight ,2018,Rawalpindi,45000.0,1500.0,33686.75
Toyota,Petrol,2019.0,Automatic,Passo ,2019,Karachi,53441.0,1000.0,14893.09
Honda,Petrol,2016.0,Automatic,Civic ,2016,Karachi,46000.0,1500.0,15956.88
Toyota,Petrol,2001.0,Automatic,Surf ,2001,Islamabad,60600.0,3400.0,19502.85
Toyota,Petrol,2022.0,Automatic,Yaris ,2022,Lahore,5000.0,1500.0,17552.57
Honda,Petrol,2013.0,Automatic,Civic ,2013,Lahore,122000.0,1800.0,9396.83
Honda,Hybrid,2011.0,Automatic,Fit ,2011,Lahore,90000.0,1300.0,7623.84
Toyota,Diesel,2021.0,Automatic,Other ,2021,Islamabad,12000.0,2800.0,40778.7
Suzuki,Petrol,2016.0,Manual,Bolan ,2016,Peshawar,80000.0,800.0,4184.25
Toyota,Petrol,2006.0,Automatic,Premio ,2006,Mardan,183000.0,1800.0,8333.04
Suzuki,Petrol,2019.0,Manual,R ,2019,Sialkot,32000.0,1000.0,8031.63
Honda,Petrol,2012.0,Automatic,Civic ,2012,Islamabad,123467.0,1800.0,7783.41
Honda,Petrol,2005.0,Manual,Civic ,2005,Islamabad,81000.0,1500.0,5283.5
Suzuki,Petrol,2018.0,Manual,Mehran ,2018,Layyah,57000.0,800.0,4343.82
Honda,Petrol,2011.0,Manual,City ,2011,Rawalpindi,55000.0,1300.0,8758.55
Toyota,Petrol,2015.0,Automatic,Corolla ,2015,Peshawar,125000.0,1800.0,11418.03
Suzuki,Petrol,2014.0,Manual,Cultus ,2014,Lahore,133000.0,1000.0,4911.17
Toyota,Diesel,2022.0,Automatic,Fortuner ,2022,Sialkot,5000.0,2800.0,74465.44
Toyota,Petrol,2007.0,Automatic,Rush ,2007,Rahim,212000.0,1500.0,11347.12
Toyota,Petrol,2019.0,Automatic,Corolla ,2019,Islamabad,11160.0,1600.0,18439.06
Toyota,Petrol,2004.0,Automatic,II ,2004,Islamabad,120000.0,2000.0,8864.93
Toyota,Diesel,1991.0,Automatic,Prado ,1991,Peshawar,90000.0,3000.0,8776.28
Toyota,Petrol,2022.0,Automatic,Yaris ,2022,Bahawalpur,8062.0,1500.0,17552.57
Toyota,Diesel,2021.0,Automatic,Hilux ,2021,Islamabad,24000.0,2800.0,39005.71
Toyota,Diesel,2022.0,Automatic,Hilux ,2022,Lahore,11000.0,2800.0,46806.85
Toyota,Petrol,2018.0,Manual,Corolla ,2018,Dunia,109000.0,1300.0,9574.13
Honda,Hybrid,2014.0,Automatic,Fit ,2014,Rawalpindi,116000.0,1500.0,11329.39
Toyota,Petrol,2001.0,Automatic,II ,2001,Lahore,192000.0,2000.0,7801.14
Toyota,Petrol,2018.0,Automatic,Passo ,2018,Islamabad,63000.0,1000.0,13439.24
Toyota,Petrol,2014.0,Manual,Corolla ,2014,Islamabad,114000.0,1300.0,10106.02
Daihatsu,Petrol,2007.0,Manual,Cuore ,2007,Multan,125000.0,800.0,3085.0
Toyota,Petrol,2007.0,Manual,Corolla ,2007,Kohat,250000.0,1300.0,6028.16
Honda,Petrol,2021.0,Automatic,City ,2021,Faisalabad,55000.0,1500.0,15779.58
Toyota,Petrol,2015.0,Automatic,Corolla ,2015,Lahore,68350.0,1300.0,13297.4
Suzuki,Petrol,2012.0,Manual,Alto ,2012,Peshawar,84000.0,1000.0,4361.55
